entry_id,run_label,episode,workflow_file,task_name,decision_host,timestamp,agent_eft,potential,potential_before,potential_after,potential_delta,shaped_reward,top_k,lambda,gamma,temperature
0,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mProject_ID0000073_AUG1,cpu_host_ultra,1763974052.1198907,370.51022896954674,0.37218761444091797,0.37218761444091797,0.4300839602947235,0.05789634585380554,-0.04459674084186554,6,0.8,0.995,0.05
1,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mProject_ID0000007_AUG1,cpu_host_ultra,1763974052.13169,380.1722251162185,0.37218761444091797,0.37218761444091797,0.4041709899902344,0.031983375549316406,-0.023970016479492175,6,0.8,0.995,0.05
2,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mProject_ID0000003_AUG1,cpu_host_ultra,1763974052.1425793,384.1653407516863,0.37218761444091797,0.37218761444091797,0.9472665190696716,0.5750789046287537,-0.4562740576267243,6,0.8,0.995,0.05
3,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mDiffFit_ID0000020_AUG1,cpu_host_ultra,1763974052.1691363,384.7122838955764,0.9472665190696716,0.9472665190696716,0.3727622330188751,-0.5745042860507965,0.46109447777271273,6,0.8,0.995,0.05
4,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mProject_ID0000035_AUG1,cpu_host_ultra,1763974052.1825476,400.16960423665216,0.37218761444091797,0.37218761444091797,0.12996643781661987,-0.2422211766242981,0.19429680705070496,6,0.8,0.995,0.05
5,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mProject_ID0000006_AUG1,cpu_host_ultra,1763974052.1939328,403.7165499868921,0.37218761444091797,0.37218761444091797,0.42000001668930054,0.04781240224838257,-0.03656992173194884,6,0.8,0.995,0.05
6,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mProject_ID0000005_AUG1,cpu_host_ultra,1763974052.2307668,404.06610756297107,0.37218761444091797,0.37218761444091797,0.3734864890575409,0.0012988746166229248,0.0004548462629318184,6,0.8,0.995,0.05
7,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mDiffFit_ID0000022_AUG1,cpu_host_ultra,1763974052.2562702,404.2037324540522,0.42000001668930054,0.42000001668930054,0.19475749135017395,-0.2252425253391266,0.18097305023670196,6,0.8,0.995,0.05
8,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mDiffFit_ID0000019_AUG1,cpu_host_ultra,1763974052.2694817,404.21112531707126,0.42000001668930054,0.42000001668930054,0.7903523445129395,0.3703523278236389,-0.29312045288085936,6,0.8,0.995,0.05
9,redo_experiments_case,,montage-chameleon-2mass-01d-001_aug1.json,mDiffFit_ID0000018_AUG1,cpu_host_ultra,1763974052.2825284,404.6262282068697,0.3734864890575409,0.3734864890575409,0.4273366332054138,0.053850144147872925,-0.0413707687854767,6,0.8,0.995,0.05
